iter: 7660  loss: 1.743344 
iter: 7680  loss: 1.738672 
iter: 7700  loss: 1.734017 
iter: 7720  loss: 1.729378 
iter: 7740  loss: 1.724757 
iter: 7760  loss: 1.720152 
iter: 7780  loss: 1.715564 
iter: 7800  loss: 1.710993 
iter: 7820  loss: 1.706438 
iter: 7840  loss: 1.701899 
iter: 7860  loss: 1.697376 
iter: 7880  loss: 1.692870 
iter: 7900  loss: 1.688379 
iter: 7920  loss: 1.683904 
iter: 7940  loss: 1.679445 
iter: 7960  loss: 1.675002 
iter: 7980  loss: 1.670574 
iter: 8000  loss: 1.666162 
iter: 8020  loss: 1.661765 
iter: 8040  loss: 1.657383 
iter: 8060  loss: 1.653017 
iter: 8080  loss: 1.648665 
iter: 8100  loss: 1.644328 
iter: 8120  loss: 1.640006 
iter: 8140  loss: 1.635699 
iter: 8160  loss: 1.631406 
iter: 8180  loss: 1.627128 
iter: 8200  loss: 1.622865 
iter: 8220  loss: 1.618616 
iter: 8240  loss: 1.614381 
iter: 8260  loss: 1.610160 
iter: 8280  loss: 1.605953 
iter: 8300  loss: 1.601760 
iter: 8320  loss: 1.597582 
iter: 8340  loss: 1.593417 
iter: 8360  loss: 1.589265 
iter: 8380  loss: 1.585128 
iter: 8400  loss: 1.581004 
iter: 8420  loss: 1.576893 
iter: 8440  loss: 1.572796 
iter: 8460  loss: 1.568712 
iter: 8480  loss: 1.564641 
iter: 8500  loss: 1.560584 
iter: 8520  loss: 1.556540 
iter: 8540  loss: 1.552508 
iter: 8560  loss: 1.548490 
iter: 8580  loss: 1.544484 
iter: 8600  loss: 1.540492 
iter: 8620  loss: 1.536512 
iter: 8640  loss: 1.532544 
iter: 8660  loss: 1.528589 
iter: 8680  loss: 1.524647 
iter: 8700  loss: 1.520717 
iter: 8720  loss: 1.516800 
iter: 8740  loss: 1.512894 
iter: 8760  loss: 1.509001 
iter: 8780  loss: 1.505120 
iter: 8800  loss: 1.501252 
iter: 8820  loss: 1.497395 
iter: 8840  loss: 1.493550 
iter: 8860  loss: 1.489717 
iter: 8880  loss: 1.485896 
iter: 8900  loss: 1.482086 
iter: 8920  loss: 1.478289 
iter: 8940  loss: 1.474503 
iter: 8960  loss: 1.470728 
iter: 8980  loss: 1.466965 
iter: 9000  loss: 1.463214 
iter: 9020  loss: 1.459473 
iter: 9040  loss: 1.455745 
iter: 9060  loss: 1.452027 
iter: 9080  loss: 1.448321 
iter: 9100  loss: 1.444626 
iter: 9120  loss: 1.440942 
iter: 9140  loss: 1.437269 
iter: 9160  loss: 1.433607 
iter: 9180  loss: 1.429956 
iter: 9200  loss: 1.426315 
iter: 9220  loss: 1.422686 
iter: 9240  loss: 1.419067 
iter: 9260  loss: 1.415459 
iter: 9280  loss: 1.411862 
iter: 9300  loss: 1.408276 
iter: 9320  loss: 1.404700 
iter: 9340  loss: 1.401134 
iter: 9360  loss: 1.397579 
iter: 9380  loss: 1.394034 
iter: 9400  loss: 1.390500 
iter: 9420  loss: 1.386976 
iter: 9440  loss: 1.383463 
iter: 9460  loss: 1.379959 
iter: 9480  loss: 1.376466 
iter: 9500  loss: 1.372983 
iter: 9520  loss: 1.369510 
iter: 9540  loss: 1.366046 
iter: 9560  loss: 1.362593 
iter: 9580  loss: 1.359150 
iter: 9600  loss: 1.355717 
iter: 9620  loss: 1.352294 
iter: 9640  loss: 1.348880 
iter: 9660  loss: 1.345476 
iter: 9680  loss: 1.342082 
iter: 9700  loss: 1.338698 
iter: 9720  loss: 1.335323 
iter: 9740  loss: 1.331958 
iter: 9760  loss: 1.328602 
iter: 9780  loss: 1.325256 
iter: 9800  loss: 1.321919 
iter: 9820  loss: 1.318592 
iter: 9840  loss: 1.315274 
iter: 9860  loss: 1.311966 
iter: 9880  loss: 1.308666 
iter: 9900  loss: 1.305376 
iter: 9920  loss: 1.302096 
iter: 9940  loss: 1.298824 
iter: 9960  loss: 1.295562 
iter: 9980  loss: 1.292308 
